"Protein1","Protein2","Gene1","Gene2","Context","StringScore"
"Q15651","Q99878","HMGN3","H2AC14","poor",0
"Q15651","Q99879","HMGN3","H2BC14","rich",0
"Q15651","Q99880","HMGN3","H2BC13","rich",0
"Q15651","Q9BTM1","HMGN3","H2AJ","poor",0
"Q15678","Q9ULE0","PTPN14","WWC3","poor",781
"Q15695","Q8NA82","ZRSR2P1","MARCHF10","poor",0
"Q15696","Q96Q35","ZRSR2","FLACC1","poor",0
"Q15788","Q16777","NCOA1","H2AC20","poor",0
"Q15788","Q6FI13","NCOA1","H2AC18","poor",0
"Q15788","Q96KK5","NCOA1","H2AC12","poor",0
"Q15788","Q99878","NCOA1","H2AC14","poor",0
"Q15811","Q93045","ITSN1","STMN2","poor",0
"Q15811","Q9UBC2","ITSN1","EPS15L1","poor",905
"Q15819","Q5JXB2","UBE2V2","UBE2NL","poor",0
"Q15843","Q16695","NEDD8","H3-4","poor",0
"Q15843","Q16778","NEDD8","H2BC21","poor",0
"Q15843","Q5QNW6","NEDD8","H2BC18","poor",0
"Q15843","Q5TEC6","NEDD8","H3-7","poor",0
"Q15843","Q6NXT2","NEDD8","H3-5","poor",0
"Q15843","Q71DI3","NEDD8","H3C15","poor",0
"Q15843","Q8N257","NEDD8","H2BU1","poor",0
"Q15843","Q93079","NEDD8","H2BC9","poor",0
"Q15843","Q96A08","NEDD8","H2BC1","poor",164
"Q15843","Q96FW1","NEDD8","OTUB1","poor",702
"Q15843","Q99877","NEDD8","H2BC15","poor",164
"Q15843","Q99879","NEDD8","H2BC14","poor",164
"Q15843","Q99880","NEDD8","H2BC13","poor",164
"Q15858","Q7Z5J8","SCN9A","ANKAR","poor",0
"Q15858","Q8N556","SCN9A","AFAP1","poor",0
"Q15906","Q16778","VPS72","H2BC21","poor",0
"Q15906","Q5QNW6","VPS72","H2BC18","poor",0
"Q15906","Q8N257","VPS72","H2BU1","poor",0
"Q15906","Q93079","VPS72","H2BC9","poor",0
"Q15906","Q96A08","VPS72","H2BC1","poor",483
"Q15906","Q99877","VPS72","H2BC15","poor",0
"Q15906","Q99879","VPS72","H2BC14","poor",0
"Q15906","Q99880","VPS72","H2BC13","poor",0
"Q16181","Q16891","SEPTIN7","IMMT","poor",0
"Q16181","Q8WZ42","SEPTIN7","TTN","poor",0
"Q16181","Q9NVA2","SEPTIN7","SEPTIN11","rich",998
"Q16181","Q9P0V9","SEPTIN7","SEPTIN10","poor",966
"Q16181","Q9UJU6","SEPTIN7","DBNL","poor",162
"Q16526","Q5GH73","CRY1","XKR6","poor",0
"Q16531","Q8WWQ0","DDB1","PHIP","poor",935
"Q16543","Q58FF7","CDC37","HSP90AB3P","poor",0
"Q16543","Q8WWI1","CDC37","LMO7","poor",0
"Q16543","Q9UPN9","CDC37","TRIM33","poor",0
"Q16643","Q562R1","DBN1","ACTBL2","poor",382
"Q16659","Q96KK5","MAPK6","H2AC12","poor",0
"Q16659","Q9BTM1","MAPK6","H2AJ","poor",0
"Q16695","Q16777","H3-4","H2AC20","rich",0
"Q16695","Q16778","H3-4","H2BC21","rich",0
"Q16695","Q53EL6","H3-4","PDCD4","poor",0
"Q16695","Q5QNW6","H3-4","H2BC18","rich",0
"Q16695","Q5T0J7","H3-4","TEX35","poor",0
"Q16695","Q6DN03","H3-4","H2BC20P","rich",0
"Q16695","Q6DRA6","H3-4","H2BC19P","rich",0
"Q16695","Q6FI13","H3-4","H2AC18","rich",0
"Q16695","Q71UI9","H3-4","H2AZ2","rich",0
"Q16695","Q7L7L0","H3-4","H2AW","rich",0
"Q16695","Q8IUE6","H3-4","H2AC21","rich",0
"Q16695","Q8N257","H3-4","H2BU1","rich",0
"Q16695","Q8N3V7","H3-4","SYNPO","poor",0
"Q16695","Q92522","H3-4","H1-10","poor",0
"Q16695","Q92538","H3-4","GBF1","poor",0
"Q16695","Q93077","H3-4","H2AC6","rich",0
"Q16695","Q93079","H3-4","H2BC9","rich",0
"Q16695","Q96A08","H3-4","H2BC1","rich",0
"Q16695","Q96CB8","H3-4","INTS12","rich",0
"Q16695","Q96KK5","H3-4","H2AC12","rich",0
"Q16695","Q96QV6","H3-4","H2AC1","rich",0
"Q16695","Q99877","H3-4","H2BC15","rich",0
"Q16695","Q99878","H3-4","H2AC14","rich",0
"Q16695","Q99879","H3-4","H2BC14","rich",0
"Q16695","Q99880","H3-4","H2BC13","rich",0
"Q16695","Q9BTM1","H3-4","H2AJ","rich",0
"Q16695","Q9H0G5","H3-4","NSRP1","poor",0
"Q16695","Q9HB71","H3-4","CACYBP","poor",0
"Q16695","Q9NPD8","H3-4","UBE2T","poor",0
"Q16695","Q9NRD8","H3-4","DUOX2","poor",0
"Q16695","Q9NRR4","H3-4","DROSHA","poor",0
"Q16695","Q9NYF5","H3-4","FAM13B","poor",0
"Q16695","Q9UPQ0","H3-4","LIMCH1","poor",0
"Q16695","Q9UQP3","H3-4","TNN","poor",0
"Q16695","Q9Y5B9","H3-4","SUPT16H","poor",0
"Q16695","Q9Y6F1","H3-4","PARP3","poor",0
"Q16739","Q8IUE6","UGCG","H2AC21","poor",0
"Q16739","Q96QV6","UGCG","H2AC1","poor",0
"Q16739","Q9BYN8","UGCG","MRPS26","poor",0
"Q16777","Q16778","H2AC20","H2BC21","rich",0
"Q16777","Q2TAA8","H2AC20","TSNAXIP1","poor",0
"Q16777","Q5GLZ8","H2AC20","HERC4","poor",0
"Q16777","Q5MIZ7","H2AC20","PPP4R3B","poor",0
"Q16777","Q5QNW6","H2AC20","H2BC18","rich",0
"Q16777","Q5SSJ5","H2AC20","HP1BP3","poor",0
"Q16777","Q5T0J7","H2AC20","TEX35","poor",0
"Q16777","Q5T1M5","H2AC20","FKBP15","poor",0
"Q16777","Q5T200","H2AC20","ZC3H13","poor",0
"Q16777","Q5TEC6","H2AC20","H3-7","rich",0
"Q16777","Q6DN03","H2AC20","H2BC20P","rich",0
"Q16777","Q6DRA6","H2AC20","H2BC19P","rich",0
"Q16777","Q6FI13","H2AC20","H2AC18","rich",0
"Q16777","Q6IN85","H2AC20","PPP4R3A","poor",0
"Q16777","Q6NUQ4","H2AC20","TMEM214","poor",0
"Q16777","Q6NXT2","H2AC20","H3-5","rich",0
"Q16777","Q6QEF8","H2AC20","CORO6","poor",0
"Q16777","Q6ZN28","H2AC20","MACC1","poor",0
"Q16777","Q6ZU35","H2AC20","CRACD","poor",0
"Q16777","Q6ZU65","H2AC20","UBN2","poor",0
"Q16777","Q71DI3","H2AC20","H3C15","rich",0
"Q16777","Q71UI9","H2AC20","H2AZ2","poor",0
"Q16777","Q7L7L0","H2AC20","H2AW","rich",0
"Q16777","Q7Z569","H2AC20","BRAP","poor",0
"Q16777","Q7Z6W7","H2AC20","DNAJB7","poor",0
"Q16777","Q8N257","H2AC20","H2BU1","rich",0
"Q16777","Q8N3V7","H2AC20","SYNPO","poor",0
"Q16777","Q8N3X6","H2AC20","LCORL","poor",0
"Q16777","Q8N6R0","H2AC20","METTL13","poor",0
"Q16777","Q8N9I9","H2AC20","DTX3","poor",0
"Q16777","Q8NBS3","H2AC20","SLC4A11","poor",0
"Q16777","Q8NDW8","H2AC20","TTC21A","poor",0
"Q16777","Q8TEW8","H2AC20","PARD3B","poor",0
"Q16777","Q8WVY7","H2AC20","UBLCP1","poor",0
"Q16777","Q92503","H2AC20","SEC14L1","poor",0
"Q16777","Q92522","H2AC20","H1-10","poor",0
"Q16777","Q92890","H2AC20","UFD1","poor",0
"Q16777","Q93077","H2AC20","H2AC6","poor",0
"Q16777","Q93079","H2AC20","H2BC9","rich",0
"Q16777","Q96A08","H2AC20","H2BC1","poor",0
"Q16777","Q96BZ8","H2AC20","LENG1","poor",0
"Q16777","Q96DY7","H2AC20","MTBP","poor",0
"Q16777","Q96GP6","H2AC20","SCARF2","poor",0
"Q16777","Q96KK5","H2AC20","H2AC12","rich",0
"Q16777","Q96NW7","H2AC20","LRRC7","poor",0
"Q16777","Q99525","H2AC20","H4C7","poor",0
"Q16777","Q99877","H2AC20","H2BC15","rich",0
"Q16777","Q99878","H2AC20","H2AC14","rich",0
"Q16777","Q99879","H2AC20","H2BC14","rich",0
"Q16777","Q99880","H2AC20","H2BC13","rich",0
"Q16777","Q9BR39","H2AC20","JPH2","poor",0
"Q16777","Q9BTM1","H2AC20","H2AJ","rich",0
"Q16777","Q9H156","H2AC20","SLITRK2","poor",0
"Q16777","Q9HCM7","H2AC20","FBRSL1","poor",0
"Q16777","Q9NRL2","H2AC20","BAZ1A","poor",0
"Q16777","Q9UBW7","H2AC20","ZMYM2","poor",0
"Q16777","Q9UG63","H2AC20","ABCF2","poor",0
"Q16777","Q9UI47","H2AC20","CTNNA3","poor",0
"Q16777","Q9UIG0","H2AC20","BAZ1B","poor",0
"Q16777","Q9UQP3","H2AC20","TNN","poor",0
"Q16777","Q9Y238","H2AC20","DLEC1","poor",0
"Q16777","Q9Y520","H2AC20","PRRC2C","poor",0
"Q16777","Q9Y5W8","H2AC20","SNX13","poor",0
"Q16777","Q9Y606","H2AC20","PUS1","poor",0
"Q16777","Q9Y6F1","H2AC20","PARP3","poor",0
"Q16778","Q53EL6","H2BC21","PDCD4","poor",0
"Q16778","Q5JVF3","H2BC21","PCID2","poor",0
"Q16778","Q5QJE6","H2BC21","DNTTIP2","poor",0
"Q16778","Q5SSJ5","H2BC21","HP1BP3","poor",0
"Q16778","Q5TEC6","H2BC21","H3-7","rich",0
"Q16778","Q5VTE0","H2BC21","EEF1A1P5","poor",0
"Q16778","Q641Q2","H2BC21","WASHC2A","poor",0
"Q16778","Q6FI13","H2BC21","H2AC18","rich",0
"Q16778","Q6IBS0","H2BC21","TWF2","poor",0
"Q16778","Q6NXT2","H2BC21","H3-5","rich",0
"Q16778","Q6P2Q9","H2BC21","PRPF8","poor",0
"Q16778","Q71DI3","H2BC21","H3C15","rich",0
"Q16778","Q71UI9","H2BC21","H2AZ2","rich",0
"Q16778","Q7L7L0","H2BC21","H2AW","rich",0
"Q16778","Q7Z4V5","H2BC21","HDGFL2","poor",0
"Q16778","Q86XA9","H2BC21","HEATR5A","poor",0
"Q16778","Q8IUE6","H2BC21","H2AC21","rich",0
"Q16778","Q92922","H2BC21","SMARCC1","rich",0
"Q16778","Q93077","H2BC21","H2AC6","rich",0
"Q16778","Q96A08","H2BC21","H2BC1","poor",0
"Q16778","Q96BJ3","H2BC21","AIDA","poor",0
"Q16778","Q96ES7","H2BC21","SGF29","poor",0
"Q16778","Q96KK5","H2BC21","H2AC12","rich",0
"Q16778","Q96ME7","H2BC21","ZNF512","poor",0
"Q16778","Q96P70","H2BC21","IPO9","poor",0
"Q16778","Q96PU4","H2BC21","UHRF2","poor",0
"Q16778","Q96QV6","H2BC21","H2AC1","rich",0
"Q16778","Q96T88","H2BC21","UHRF1","poor",0
"Q16778","Q99525","H2BC21","H4C7","poor",0
"Q16778","Q99878","H2BC21","H2AC14","rich",0
"Q16778","Q9BR39","H2BC21","JPH2","poor",0
"Q16778","Q9BRT6","H2BC21","LLPH","poor",0
"Q16778","Q9BTE3","H2BC21","MCMBP","poor",0
"Q16778","Q9BTM1","H2BC21","H2AJ","rich",0
"Q16778","Q9BV97","H2BC21","ZNF747","poor",0
"Q16778","Q9H9A5","H2BC21","CNOT10","poor",0
"Q16778","Q9P0M6","H2BC21","MACROH2A2","poor",0
"Q16778","Q9P258","H2BC21","RCC2","poor",0
"Q16778","Q9UBW7","H2BC21","ZMYM2","poor",0
"Q16778","Q9UIG0","H2BC21","BAZ1B","rich",0
"Q16778","Q9UNH7","H2BC21","SNX6","poor",0
"Q16778","Q9UPT8","H2BC21","ZC3H4","poor",0
"Q16778","Q9Y2K7","H2BC21","KDM2A","poor",0
"Q16778","Q9Y2S6","H2BC21","TMA7","poor",0
"Q16778","Q9Y4D8","H2BC21","HECTD4","poor",0
"Q16778","Q9Y520","H2BC21","PRRC2C","poor",0
"Q16778","Q9Y5F7","H2BC21","PCDHGC4","poor",0
"Q16778","Q9Y6F1","H2BC21","PARP3","rich",0
"Q16829","Q5UIP0","DUSP7","RIF1","poor",0
"Q16891","Q71U36","IMMT","TUBA1A","poor",166
"Q16891","Q9NX63","IMMT","CHCHD3","rich",999
"Q17R31","Q5TAP6","TATDN3","UTP14C","poor",0
"Q17RP2","Q6QEF8","TIGD6","CORO6","poor",0
"Q1ED39","Q5T2D3","KNOP1","OTUD3","poor",0
"Q1ED39","Q7L7L0","KNOP1","H2AW","poor",0
"Q1ED39","Q9BTM1","KNOP1","H2AJ","poor",0
"Q1ED39","Q9Y3U8","KNOP1","RPL36","poor",168
"Q1KMD3","Q9NXW2","HNRNPUL2","DNAJB12","poor",0
"Q1MSJ5","Q5UIP0","CSPP1","RIF1","poor",0
"Q1RMZ1","Q9H875","BMT2","PRKRIP1","poor",0
"Q27J81","Q99832","INF2","CCT7","poor",0
"Q29RF7","Q96AG4","PDS5A","LRRC59","poor",0
"Q2KJY2","Q6FI13","KIF26B","H2AC18","poor",0
"Q2KJY2","Q7L7L0","KIF26B","H2AW","poor",0
"Q2KJY2","Q93077","KIF26B","H2AC6","poor",0
"Q2KJY2","Q96KK5","KIF26B","H2AC12","poor",0
"Q2KJY2","Q99878","KIF26B","H2AC14","poor",0
"Q2M2H8","Q96CP7","MGAM2","TLCD1","poor",0
"Q2M2H8","Q9BWH2","MGAM2","FUNDC2","poor",0
"Q2M2H8","Q9HD36","MGAM2","BCL2L10","poor",0
"Q2M389","Q6NZI2","WASHC4","CAVIN1","poor",0
"Q2M3C7","Q9UQ16","SPHKAP","DNM3","poor",298
"Q2TAA8","Q6FI13","TSNAXIP1","H2AC18","poor",0
"Q2TAA8","Q7L7L0","TSNAXIP1","H2AW","poor",0
"Q2TAA8","Q8IUE6","TSNAXIP1","H2AC21","poor",0
"Q2TAA8","Q93077","TSNAXIP1","H2AC6","poor",0
"Q2TAA8","Q96KK5","TSNAXIP1","H2AC12","poor",0
"Q2TAA8","Q96QV6","TSNAXIP1","H2AC1","poor",0
"Q2TAA8","Q99878","TSNAXIP1","H2AC14","poor",0
"Q2TAA8","Q9BTM1","TSNAXIP1","H2AJ","poor",0
"Q32P51","Q6Y7W6","HNRNPA1L2","GIGYF2","poor",0
"Q32P51","Q71RC2","HNRNPA1L2","LARP4","poor",174
"Q32P51","Q96HP0","HNRNPA1L2","DOCK6","poor",0
"Q32P51","Q9BY77","HNRNPA1L2","POLDIP3","poor",232
"Q3SY84","Q99456","KRT71","KRT12","poor",0
"Q49AN0","Q5GH73","CRY2","XKR6","poor",0
"Q4VC31","Q96EX1","MIX23","SMIM12","poor",0
"Q502W7","Q8NA82","CCDC38","MARCHF10","poor",0
"Q52LJ0","Q96MU7","FAM98B","YTHDC1","poor",0
"Q52LJ0","Q9Y224","FAM98B","RTRAF","rich",999
"Q53EL6","Q5QNW6","PDCD4","H2BC18","poor",0
"Q53EL6","Q71DI3","PDCD4","H3C15","poor",0
"Q53EL6","Q7L7L0","PDCD4","H2AW","poor",0
"Q53EL6","Q8N257","PDCD4","H2BU1","poor",0
"Q53EL6","Q93079","PDCD4","H2BC9","poor",0
"Q53EL6","Q96A08","PDCD4","H2BC1","poor",0
"Q53EL6","Q99877","PDCD4","H2BC15","poor",0
"Q53EL6","Q99879","PDCD4","H2BC14","poor",0
"Q53EL6","Q99880","PDCD4","H2BC13","poor",0
"Q53H82","Q92878","LACTB2","RAD50","poor",0
"Q53HC0","Q8N9N7","CCDC92","LRRC57","poor",0
"Q53HC0","Q96SW2","CCDC92","CRBN","poor",0
"Q53HC0","Q9UQE7","CCDC92","SMC3","poor",0
"Q53HL2","Q9NQS7","CDCA8","INCENP","poor",999
"Q562R1","Q6S8J3","ACTBL2","POTEE","poor",0
"Q562R1","Q8N8I6","ACTBL2","LINC00482","poor",0
"Q562R1","Q8N8S7","ACTBL2","ENAH","poor",0
"Q562R1","Q99439","ACTBL2","CNN2","poor",248
"Q562R1","Q9BYX7","ACTBL2","POTEKP","poor",0
"Q562R1","Q9NP56","ACTBL2","PDE7B","poor",0
"Q562R1","Q9NPA8","ACTBL2","ENY2","poor",0
"Q562R1","Q9UHB6","ACTBL2","LIMA1","poor",253
"Q562R1","Q9Y4D8","ACTBL2","HECTD4","poor",0
"Q562R1","Q9Y4F1","ACTBL2","FARP1","poor",0
"Q58F21","Q8NA82","BRDT","MARCHF10","poor",0
"Q58FF3","Q96J77","HSP90B2P","TPD52L3","poor",0
"Q58FF3","Q96KR4","HSP90B2P","LMLN","poor",0
"Q58FF3","Q9NYL9","HSP90B2P","TMOD3","poor",0
"Q58FF7","Q58FF8","HSP90AB3P","HSP90AB2P","poor",0
"Q58FF7","Q5JTC6","HSP90AB3P","AMER1","poor",0
"Q58FF7","Q96BJ3","HSP90AB3P","AIDA","poor",0
"Q58FF8","Q5TAX3","HSP90AB2P","TUT4","poor",0
"Q58FF8","Q6P9F0","HSP90AB2P","CCDC62","poor",0
"Q58FF8","Q8WY36","HSP90AB2P","BBX","poor",0
"Q58FF8","Q96EP5","HSP90AB2P","DAZAP1","poor",0
"Q58FF8","Q9P2N5","HSP90AB2P","RBM27","poor",0
"Q58FG0","Q96GQ7","HSP90AA5P","DDX27","poor",0
"Q58FG0","Q9Y6E2","HSP90AA5P","BZW2","poor",0
"Q58FG1","Q8WX93","HSP90AA4P","PALLD","poor",0
"Q5BKY9","Q93077","FAM133B","H2AC6","poor",0
"Q5BKY9","Q96KK5","FAM133B","H2AC12","poor",0
"Q5BKY9","Q96QV6","FAM133B","H2AC1","poor",0
"Q5BKY9","Q9BTM1","FAM133B","H2AJ","poor",0
"Q5BKZ1","Q9NR30","ZNF326","DDX21","poor",209
"Q5DID0","Q8IUE6","UMODL1","H2AC21","poor",0
"Q5DID0","Q96QV6","UMODL1","H2AC1","poor",0
"Q5DID0","Q9BYN8","UMODL1","MRPS26","poor",0
"Q5GH73","Q9HD67","XKR6","MYO10","poor",0
"Q5GLZ8","Q6FI13","HERC4","H2AC18","poor",0
"Q5GLZ8","Q96KK5","HERC4","H2AC12","poor",0
"Q5GLZ8","Q99878","HERC4","H2AC14","poor",0
"Q5HYC2","Q96JM4","KIAA2026","LRRIQ1","poor",0
"Q5HYC2","Q96KR4","KIAA2026","LMLN","poor",0
"Q5JRA6","Q92499","MIA3","DDX1","poor",0
"Q5JRA6","Q9H0A0","MIA3","NAT10","poor",0
"Q5JSZ5","Q9UNH7","PRRC2B","SNX6","poor",0
"Q5JVF3","Q96KK5","PCID2","H2AC12","poor",0
"Q5JVF3","Q9BTM1","PCID2","H2AJ","poor",0
"Q5JWF2","Q9UBI6","GNAS","GNG12","poor",743
"Q5JXB2","Q96FW1","UBE2NL","OTUB1","poor",0
"Q5KSL6","Q9BZJ0","DGKK","CRNKL1","poor",0
"Q5KSL6","Q9P2D7","DGKK","DNAH1","poor",0
"Q5MIZ7","Q6FI13","PPP4R3B","H2AC18","poor",0
"Q5MIZ7","Q7L7L0","PPP4R3B","H2AW","poor",0
"Q5MIZ7","Q93077","PPP4R3B","H2AC6","poor",0
"Q5MIZ7","Q96KK5","PPP4R3B","H2AC12","poor",0
"Q5MIZ7","Q99878","PPP4R3B","H2AC14","poor",202
"Q5PSV4","Q96ST3","BRMS1L","SIN3A","poor",943
"Q5QJE6","Q5QNW6","DNTTIP2","H2BC18","poor",0
"Q5QJE6","Q8N257","DNTTIP2","H2BU1","poor",0
"Q5QJE6","Q93079","DNTTIP2","H2BC9","poor",0
"Q5QJE6","Q96A08","DNTTIP2","H2BC1","poor",270
"Q5QJE6","Q99877","DNTTIP2","H2BC15","poor",0
"Q5QJE6","Q99879","DNTTIP2","H2BC14","poor",0
"Q5QJE6","Q99880","DNTTIP2","H2BC13","poor",0
"Q5QJE6","Q9H583","DNTTIP2","HEATR1","poor",897
"Q5QNW6","Q5SSJ5","H2BC18","HP1BP3","poor",0
"Q5QNW6","Q5TEC6","H2BC18","H3-7","rich",0
"Q5QNW6","Q641Q2","H2BC18","WASHC2A","poor",0
"Q5QNW6","Q6FI13","H2BC18","H2AC18","rich",0
"Q5QNW6","Q6NXT2","H2BC18","H3-5","rich",0
"Q5QNW6","Q6P2Q9","H2BC18","PRPF8","poor",0
"Q5QNW6","Q71DI3","H2BC18","H3C15","rich",0
"Q5QNW6","Q71UI9","H2BC18","H2AZ2","rich",0
"Q5QNW6","Q7L7L0","H2BC18","H2AW","rich",0
"Q5QNW6","Q7Z4V5","H2BC18","HDGFL2","poor",0
"Q5QNW6","Q86U86","H2BC18","PBRM1","poor",0
"Q5QNW6","Q86XA9","H2BC18","HEATR5A","poor",0
"Q5QNW6","Q8IUE6","H2BC18","H2AC21","rich",0
"Q5QNW6","Q8N8Z6","H2BC18","DCBLD1","poor",0
"Q5QNW6","Q8NFC6","H2BC18","BOD1L1","poor",0
"Q5QNW6","Q8TD47","H2BC18","RPS4Y2","poor",0
"Q5QNW6","Q8WZ42","H2BC18","TTN","poor",0
"Q5QNW6","Q92922","H2BC18","SMARCC1","rich",0
"Q5QNW6","Q93077","H2BC18","H2AC6","rich",0
"Q5QNW6","Q969M2","H2BC18","GJA10","poor",0
"Q5QNW6","Q96A08","H2BC18","H2BC1","poor",0
"Q5QNW6","Q96BJ3","H2BC18","AIDA","poor",0
"Q5QNW6","Q96KK5","H2BC18","H2AC12","rich",0
"Q5QNW6","Q96LR5","H2BC18","UBE2E2","poor",0
"Q5QNW6","Q96M83","H2BC18","CCDC7","poor",0
"Q5QNW6","Q96ME7","H2BC18","ZNF512","poor",0
"Q5QNW6","Q96P70","H2BC18","IPO9","poor",0
"Q5QNW6","Q96PU4","H2BC18","UHRF2","poor",0
"Q5QNW6","Q96QV6","H2BC18","H2AC1","rich",0
"Q5QNW6","Q96T88","H2BC18","UHRF1","poor",0
"Q5QNW6","Q99878","H2BC18","H2AC14","rich",0
"Q5QNW6","Q9BTM1","H2BC18","H2AJ","rich",0
"Q5QNW6","Q9BUQ8","H2BC18","DDX23","poor",0
"Q5QNW6","Q9BV97","H2BC18","ZNF747","poor",0
"Q5QNW6","Q9BWE0","H2BC18","REPIN1","poor",0
"Q5QNW6","Q9NR30","H2BC18","DDX21","poor",0
"Q5QNW6","Q9P0M6","H2BC18","MACROH2A2","poor",0
"Q5QNW6","Q9P258","H2BC18","RCC2","poor",0
"Q5QNW6","Q9UBW7","H2BC18","ZMYM2","poor",0
"Q5QNW6","Q9UIG0","H2BC18","BAZ1B","poor",0
"Q5QNW6","Q9UPT8","H2BC18","ZC3H4","poor",0
"Q5QNW6","Q9UPU5","H2BC18","USP24","poor",0
"Q5QNW6","Q9UQP3","H2BC18","TNN","poor",0
"Q5QNW6","Q9Y2K7","H2BC18","KDM2A","poor",0
"Q5QNW6","Q9Y314","H2BC18","NOSIP","poor",0
"Q5QNW6","Q9Y4D8","H2BC18","HECTD4","poor",0
"Q5QNW6","Q9Y520","H2BC18","PRRC2C","poor",0
"Q5QNW6","Q9Y6F1","H2BC18","PARP3","rich",0
"Q5RI15","Q5VTR2","COX20","RNF20","poor",0
"Q5RI15","Q9NQC3","COX20","RTN4","poor",0
"Q5SSJ5","Q5TEC6","HP1BP3","H3-7","poor",0
"Q5SSJ5","Q6FI13","HP1BP3","H2AC18","poor",0
"Q5SSJ5","Q6NXT2","HP1BP3","H3-5","poor",0
"Q5SSJ5","Q71DI3","HP1BP3","H3C15","poor",0
"Q5SSJ5","Q7L7L0","HP1BP3","H2AW","poor",0
"Q5SSJ5","Q8N257","HP1BP3","H2BU1","poor",0
"Q5SSJ5","Q93077","HP1BP3","H2AC6","poor",0
"Q5SSJ5","Q93079","HP1BP3","H2BC9","poor",0
"Q5SSJ5","Q96A08","HP1BP3","H2BC1","poor",0
"Q5SSJ5","Q96KK5","HP1BP3","H2AC12","poor",0
"Q5SSJ5","Q99877","HP1BP3","H2BC15","poor",0
"Q5SSJ5","Q99878","HP1BP3","H2AC14","poor",215
"Q5SSJ5","Q99879","HP1BP3","H2BC14","poor",263
"Q5SSJ5","Q99880","HP1BP3","H2BC13","poor",0
"Q5SSJ5","Q9BTM1","HP1BP3","H2AJ","poor",0
"Q5SW79","Q9Y2T2","CEP170","AP3M1","poor",0
"Q5SY16","Q8IZL8","NOL9","PELP1","poor",965
"Q5SZB4","Q9UHI7","C9orf50","SLC23A1","poor",0
"Q5T0J7","Q5TEC6","TEX35","H3-7","poor",0
"Q5T0J7","Q6FI13","TEX35","H2AC18","poor",0
"Q5T0J7","Q6NXT2","TEX35","H3-5","poor",0
"Q5T0J7","Q71DI3","TEX35","H3C15","poor",0
"Q5T0J7","Q7L7L0","TEX35","H2AW","poor",0
"Q5T0J7","Q93077","TEX35","H2AC6","poor",0
"Q5T0J7","Q96KK5","TEX35","H2AC12","poor",0
"Q5T0J7","Q99878","TEX35","H2AC14","poor",0
"Q5T0J7","Q9BTM1","TEX35","H2AJ","poor",0
"Q5T1M5","Q6FI13","FKBP15","H2AC18","poor",0
"Q5T1M5","Q7L7L0","FKBP15","H2AW","poor",0
"Q5T1M5","Q93077","FKBP15","H2AC6","poor",0
"Q5T1M5","Q96KK5","FKBP15","H2AC12","poor",0
"Q5T1M5","Q99878","FKBP15","H2AC14","poor",216
"Q5T1M5","Q9BTM1","FKBP15","H2AJ","poor",0
"Q5T200","Q6FI13","ZC3H13","H2AC18","poor",0
"Q5T200","Q8IUE6","ZC3H13","H2AC21","poor",0
"Q5T200","Q92499","ZC3H13","DDX1","poor",300
"Q5T200","Q93077","ZC3H13","H2AC6","poor",0
"Q5T200","Q96KK5","ZC3H13","H2AC12","poor",0
"Q5T200","Q96QV6","ZC3H13","H2AC1","poor",0
"Q5T200","Q99878","ZC3H13","H2AC14","poor",0
"Q5T200","Q9BTM1","ZC3H13","H2AJ","poor",0
"Q5T2D3","Q92878","OTUD3","RAD50","poor",0
"Q5T2D3","Q9NUU7","OTUD3","DDX19A","poor",0
"Q5T2D3","Q9UMR2","OTUD3","DDX19B","poor",0
"Q5T2D3","Q9Y3U8","OTUD3","RPL36","poor",0
"Q5T3I0","Q9BVQ7","GPATCH4","SPATA5L1","poor",0
"Q5T3I0","Q9H875","GPATCH4","PRKRIP1","poor",0
"Q5T5C0","Q9UM00","STXBP5","TMCO1","poor",0
"Q5T9A4","Q9NVI7","ATAD3B","ATAD3A","poor",550
"Q5T9S5","Q93045","CCDC18","STMN2","poor",0
"Q5TAP6","Q8NCM8","UTP14C","DYNC2H1","poor",0
"Q5TAP6","Q8WXH0","UTP14C","SYNE2","poor",0
"Q5TAP6","Q9Y6M7","UTP14C","SLC4A7","poor",0
"Q5TCS8","Q9Y490","AK9","TLN1","poor",0
"Q5TEC6","Q6DN03","H3-7","H2BC20P","rich",0
"Q5TEC6","Q6DRA6","H3-7","H2BC19P","rich",0
"Q5TEC6","Q6FI13","H3-7","H2AC18","rich",0
"Q5TEC6","Q71UI9","H3-7","H2AZ2","poor",0
"Q5TEC6","Q7L7L0","H3-7","H2AW","rich",0
"Q5TEC6","Q8IUE6","H3-7","H2AC21","rich",0
"Q5TEC6","Q8N257","H3-7","H2BU1","rich",0
"Q5TEC6","Q8N3V7","H3-7","SYNPO","poor",0
"Q5TEC6","Q92522","H3-7","H1-10","poor",0
"Q5TEC6","Q93077","H3-7","H2AC6","rich",0
"Q5TEC6","Q93079","H3-7","H2BC9","rich",0
"Q5TEC6","Q96A08","H3-7","H2BC1","rich",0
"Q5TEC6","Q96AG4","H3-7","LRRC59","poor",0
"Q5TEC6","Q96BJ3","H3-7","AIDA","poor",0
"Q5TEC6","Q96CB8","H3-7","INTS12","rich",0
"Q5TEC6","Q96KK5","H3-7","H2AC12","rich",0
"Q5TEC6","Q96QV6","H3-7","H2AC1","rich",0
"Q5TEC6","Q99877","H3-7","H2BC15","rich",0
